id,name,abrv,division,primaryColor,logo,playoffs,pick,result,proj_points,proj_goals,proj_goals_ag,Dif,actual_points,actual_goals,actual_goals_ag,Error
1,Anaheim Ducks,ANA,Pacific,#00685e,/Images/ducks.png,5.5%,,,75,229,272,-69,80,221,263,4.9
2,Boston Bruins,BOS,Atlantic,#FFB81C,/Images/bruins.png,41.0%,,,87,239,244,23,76,222,272,11.3
3,Buffalo Sabres,BUF,Atlantic,#0037087,/Images/sabres.png,20.0%,,,82,241,262,-15,79,269,289,3.1
4,Calgary Flames,CGY,Pacific,#D2001C,/Images/flames.png,43.6%,,,88,251,255,-21,96,225,238,8.4
5,Carolina Hurricanes,CAR,Metropolitan,#CE1126,/Images/canes.png,88.8%,TRUE,TRUE,100,274,237,29,99,266,233,1
6,Chicago Blackhawks,CHI,Central,#CF0A2C,/Images/blackhawks.png,31.9%,,,86,235,246,-28,61,226,296,24.5
7,Colorado Avalanche,COL,Central,#6F263D,/Images/avalanche.png,84.9%,TRUE,TRUE,98,268,237,30,102,277,234,3.9
8,Columbus Blue Jackets,CBJ,Metropolitan,#002654,/Images/blue jackets.png,4.9%,,,75,230,273,-78,89,237,268,13.6
9,Dallas Stars,DAL,Central,#006847,/Images/stars.png,77.7%,TRUE,TRUE,96,265,242,54,106,277,224,10.2
10,Detroit Red Wings,DET,Atlantic,#ce1126,/Images/red wings.png,22.4%,TRUE,,83,238,257,-9,86,238,259,3.2
11,Edmonton Oilers,EDM,Pacific,#FF4C00,/Images/oilers.png,77.7%,TRUE,TRUE,95,277,254,44,101,259,236,5.7
12,Florida Panthers,FLA,Atlantic,#c8102E,/Images/panthers.png,82.4%,TRUE,TRUE,97,263,236,49,98,252,223,1
13,Los Angeles Kings,LAK,Pacific,#A2AAAD,/Images/kings.png,70.1%,,TRUE,93,254,239,33,105,250,206,11.6
14,Minnesota Wild,MIN,Central,#154734,/Images/wild.png,59.5%,TRUE,TRUE,91,242,234,20,97,228,239,5.6
15,Montreal Canadiens,MTL,Atlantic,#AF1E2D,/Images/canadiens.png,12.1%,,TRUE,79,241,271,-59,91,245,265,11.8
16,Nashville Predators,NSH,Central,#FFB81C,/Images/predators.png,50.8%,TRUE,,90,246,243,20,68,214,274,21.6
17,New Jersey Devils,NJD,Metropolitan,#CE1126,/Images/devils.png,72.8%,TRUE,TRUE,95,269,248,38,91,242,222,3.8
18,New York Islanders,NYI,Metropolitan,#00539b,/Images/islanders.png,54.2%,,,91,260,253,27,82,224,260,8.6
19,New York Rangers,NYR,Metropolitan,#0038A8,/Images/rangers.png,70.5%,TRUE,,94,254,236,37,85,256,255,9.3
20,Ottawa Senators,OTT,Atlantic,#DA1A32,/Images/senators.png,63.5%,TRUE,TRUE,92,253,242,4,97,243,234,4.9
21,Philadelphia Flyers,PHI,Metropolitan,#F74902,/Images/flyers.png,23.9%,,,84,238,253,-49,76,238,286,7.8
22,Pittsburgh Penguins,PIT,Metropolitan,#FCB514,/Images/penguins.png,47.5%,,,89,263,260,-30,80,243,293,9.3
23,San Jose Sharks,SJS,Pacific,#006D75,/Images/sharks.png,0.6%,,,67,202,270,-120,52,210,315,14.9
24,Seattle Kraken,SEA,Pacific,#68a2b9,/Images/kraken.png,39.1%,,,87,238,245,-1,76,247,265,10.7
25,St. Louis Blues,STL,Central,#002F87,/Images/blues.png,7.9%,,TRUE,77,225,262,-44,96,254,233,18.9
26,Tampa Bay Lightning,TBL,Atlantic,#002868,/Images/lightning.png,70.2%,TRUE,TRUE,94,254,239,13,102,294,219,8.3
27,Toronto Maple Leafs,TOR,Atlantic,#00205b,/Images/leafs.png,57.8%,TRUE,TRUE,91,253,246,29,108,268,231,17.1
28,Utah Hockey Club,UTA,Central,#5c88da,/Images/utah.png,46.2%,TRUE,,89,244,245,-17,89,241,251,0.4
29,Vancouver Canucks,VAN,Pacific,#00205B,/Images/canucks.png,77.7%,TRUE,,95,253,233,61,90,236,253,5.4
30,Vegas Golden Knights,VGK,Pacific,#B4975A,/Images/golden knights.png,61.1%,TRUE,TRUE,91,258,250,4,110,275,219,18.7
31,Washington Capitals,WSH,Metropolitan,#041E42,/Images/capitals.png,68.2%,,TRUE,94,261,245,10,111,288,232,17.3
32,Winnipeg Jets,WPG,Central,#004C97,/Images/jets.png,65.7%,,TRUE,93,243,231,16,116,277,191,23.2
,,,,,,,,,,,,,,,,10.0
