id,date,name,abrv,primaryColor,logo,current_playoffs,current_round2,current_conf,current_final,current_win
19,2024-10-13,New York Rangers,NYR,#0038A8,/Images/rangers.png,83.6%,44.6%,23.6%,12.1%,6.1%
20,2024-10-13,Ottawa Senators,OTT,#DA1A32,/Images/senators.png,55.4%,26.4%,12.4%,5.8%,2.7%
21,2024-10-13,Philadelphia Flyers,PHI,#F74902,/Images/flyers.png,21.3%,7.1%,2.4%,0.8%,0.3%
22,2024-10-13,Pittsburgh Penguins,PIT,#FCB514,/Images/penguins.png,11.4%,3.4%,1.1%,0.4%,0.1%
23,2024-10-13,San Jose Sharks,SJS,#006D75,/Images/sharks.png,1.1%,0.2%,0.1%,0.0%,0.0%
24,2024-10-13,Seattle Kraken,SEA,#68a2b9,/Images/kraken.png,29.1%,10.3%,3.9%,1.5%,0.5%
25,2024-10-13,St. Louis Blues,STL,#002F87,/Images/blues.png,21.8%,7.2%,2.3%,0.8%,0.2%
26,2024-10-13,Tampa Bay Lightning,TBL,#002868,/Images/lightning.png,65.7%,33.4%,16.3%,7.8%,3.7%
27,2024-10-13,Toronto Maple Leafs,TOR,#00205b,/Images/leafs.png,79.6%,39.8%,19.2%,9.0%,4.1%
28,2024-10-13,Utah Hockey Club,UTA,#5c88da,/Images/utah.png,46.7%,18.1%,7.1%,2.7%,1.1%
29,2024-10-13,Vancouver Canucks,VAN,#00205B,/Images/canucks.png,91.0%,55.1%,31.9%,18.0%,10.1%
30,2024-10-13,Vegas Golden Knights,VGK,#B4975A,/Images/golden knights.png,47.0%,17.9%,7.1%,2.7%,1.0%
31,2024-10-13,Washington Capitals,WSH,#041E42,/Images/capitals.png,66.6%,30.5%,14.4%,6.5%,2.8%
32,2024-10-13,Winnipeg Jets,WPG,#004C97,/Images/jets.png,78.1%,41.8%,21.0%,10.7%,5.4%
1,2024-10-20,Anaheim Ducks,ANA,#00685e,/Images/ducks.png,1.3%,0.3%,0.1%,0.02%,0.0%
2,2024-10-20,Boston Bruins,BOS,#FFB81C,/Images/bruins.png,57.5%,27.1%,12.5%,5.7%,2.5%
3,2024-10-20,Buffalo Sabres,BUF,#003087,/Images/sabres.png,16.0%,5.6%,1.9%,0.7%,0.2%
4,2024-10-20,Calgary Flames,CGY,#D2001C,/Images/flames.png,53.6%,20.0%,7.8%,2.8%,1.0%
5,2024-10-20,Carolina Hurricanes,CAR,#CE1126,/Images/canes.png,88.4%,53.2%,31.4%,18.5%,10.3%
6,2024-10-20,Chicago Blackhawks,CHI,#CF0A2C,/Images/blackhawks.png,9.7%,2.7%,0.7%,0.2%,0.1%
7,2024-10-20,Colorado Avalanche,COL,#6F263D,/Images/avalanche.png,45.4%,21.3%,10.0%,4.6%,2.1%
8,2024-10-20,Columbus Blue Jackets,CBJ,#002654,/Images/blue jackets.png,1.1%,0.2%,0.1%,0.01%,0.0%
9,2024-10-20,Dallas Stars,DAL,#006847,/Images/stars.png,87.5%,46.6%,23.2%,11.5%,5.7%
10,2024-10-20,Detroit Red Wings,DET,#ce1126,/Images/red wings.png,13.8%,5.0%,1.7%,0.6%,0.2%
11,2024-10-20,Edmonton Oilers,EDM,#FF4C00,/Images/oilers.png,77.9%,42.6%,23.2%,12.2%,6.5%
12,2024-10-20,Florida Panthers,FLA,#c8102E,/Images/panthers.png,87.1%,51.0%,28.2%,15.7%,8.4%
13,2024-10-20,Los Angeles Kings,LAK,#A2AAAD,/Images/kings.png,85.5%,48.7%,26.8%,14.1%,7.6%
14,2024-10-20,Minnesota Wild,MIN,#154734,/Images/wild.png,89.7%,51.5%,27.5%,14.8%,7.9%
15,2024-10-20,Montreal Canadiens,MTL,#AF1E2D,/Images/canadiens.png,3.1%,0.8%,0.2%,0.1%,0.01%
16,2024-10-20,Nashville Predators,NSH,#FFB81C,/Images/predators.png,24.4%,10.6%,4.8%,2.1%,0.9%
17,2024-10-20,New Jersey Devils,NJD,#CE1126,/Images/devils.png,81.6%,40.8%,20.6%,10.0%,4.7%
